TotalSF,LotArea,BedroomAbvGr,SalePrice
1328,9790,3,143000
1582,36500,4,190000
1659,5664,2,278000
1970,11065,3,281000
1152,14112,3,180500
1302,1680,3,119500
2372,6600,4,107500
1664,10140,4,162900
864,8172,2,115000
1052,8400,3,138500
1128,8700,3,155000
1072,3675,2,140000
5642,63887,3,160000
1246,7500,3,154000
1983,10762,3,225000
1494,7500,3,177500
2526,10120,4,290000
1616,8688,3,232000
1708,3363,3,130000
1652,13173,2,325000
1368,6955,2,202500
990,8072,3,138000
1122,12000,2,147000
1294,7153,3,179200
1902,17500,3,335000
1274,8814,3,203000
2810,9572,4,302000
2599,14774,4,333168
948,8190,3,119000
2112,11075,4,206900
1630,10226,3,295493
1352,4230,2,208900
1787,14781,3,275000
948,10215,3,111000
1478,8400,3,156500
720,6627,2,72500
1923,10186,3,190000
708,5330,2,82500
1795,9986,2,147000
796,3636,2,55000
774,4270,3,79000
816,6600,3,130500
2792,10440,5,256000
1632,9084,3,176500
1588,10000,3,227000
954,10780,3,132500
816,8877,2,100000
1360,7200,2,125500
1365,2368,3,125000
1334,9650,2,167900
1656,9246,4,135000
693,4118,2,52500
1861,13450,3,200000
864,9560,3,128500
872,8294,3,123000
1114,13695,3,155000
2169,9375,3,228500
1913,7558,3,177000
1456,11103,3,155835
960,6000,2,108500
2156,20781,3,262500
1776,15306,3,283463
1494,16196,3,215000
2153,5250,4,122000
2634,11643,6,200000
1716,9247,4,171000
1176,6000,2,134900
3238,14720,4,410000
1865,10316,3,235000
1920,10192,4,170000
892,9477,3,110000
1078,12537,3,149900
1573,2117,3,177500
1980,16737,3,315000
2601,9842,4,189000
1530,16158,3,260000
1738,12513,4,104900
1412,8499,3,156932
1120,3180,2,144152
1674,7500,3,216000
1790,9179,3,193000
1475,2665,4,127000
848,4435,1,144000
1668,10635,3,232000
1374,5400,2,105000
1661,9600,3,165500
2097,9750,3,274300
2633,11400,2,466500
1958,10625,3,250000
1571,10991,3,239000
790,6292,2,91000
1604,10998,3,117000
987,1953,2,83000
1394,9735,3,167500
864,8212,2,58500
2117,12925,4,237500
1762,7200,4,157000
1416,25339,3,112000
1258,9060,2,105000
1154,5436,3,125500
2784,16692,5,250000
2526,8520,5,136000
1746,14892,3,377500
1218,6000,3,131000
1525,9100,3,235000
1584,8944,4,124000
900,7838,3,123000
1912,10800,3,163000
1500,4045,2,246578
2482,12665,4,281213
1687,57200,3,160000
1513,6120,4,137500
1904,7200,3,138000
1608,6171,3,137450
1158,6000,3,120000
1593,7415,3,193000
1294,6762,2,193879
1464,15256,3,282922
1214,10410,3,105000
1646,3842,2,275000
768,8445,2,133000
833,8780,3,112000
1363,7740,3,125500
2093,20544,3,215000
1840,12420,3,230000
1668,9600,3,140000
1040,7200,2,90000
1844,10994,2,257000
1848,13053,4,207000
1569,3635,1,175900
2290,11340,4,122500
2450,16545,3,340000
1144,9204,3,124000
1844,16381,3,223000
1416,11700,3,179900
1069,4043,2,127500
848,4435,1,136500
2201,19690,4,274970
1344,9503,2,144000
1252,10721,3,142000
2127,10944,3,271000
1558,10930,3,140000
804,7200,2,119000
1440,12546,3,182900
1838,21930,4,192140
958,4928,2,143750
968,10800,4,64500
1792,10261,3,186500
1126,17400,3,160000
1537,8400,3,174000
864,9000,3,120500
1932,12444,2,394617
1236,7407,2,149700
1725,11584,3,197000
2171,11526,3,191000
848,4426,1,149300
2007,11003,3,310000
952,8854,2,121000
1422,8500,3,179600
913,8400,3,129000
1188,26142,3,157900
2090,10000,3,240000
1346,11767,2,112000
630,1533,1,92000
1792,9000,4,136000
1578,9262,3,287090
1072,3675,2,145000
1140,17217,3,84500
1221,7500,2,185000
1647,7917,3,175000
2073,13175,3,210000
2340,9042,4,266500
1078,9717,2,142125
1256,9937,3,147500
